CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81590340,-25.486945243492,-49.2043714494834,2,07:58,54,81590340,-25.486945243492,-49.2043714494834,SIM,08:00
81590340,-25.486945243492,-49.2043714494834,2,08:01,54,82990198,-25.4560595000466,-49.1987434093442,NÃO,08:15
82990198,-25.4560595000466,-49.1987434093442,2,08:16,54,81900670,-25.5457748986399,-49.2827186530876,NÃO,08:15
81900670,-25.5457748986399,-49.2827186530876,2,08:16,54,81900670,-25.5457748986399,-49.2827186530876,SIM,08:27
81900670,-25.5457748986399,-49.2827186530876,2,08:28,54,81590270,-25.4844592157371,-49.203473764438,NÃO,08:28
81590270,-25.4844592157371,-49.203473764438,2,08:29,54,81560480,-25.4932949091003,-49.2131369999224,NÃO,08:28
81560480,-25.4932949091003,-49.2131369999224,2,08:29,54,81560480,-25.4932949091003,-49.2131369999224,SIM,08:44
81560480,-25.4932949091003,-49.2131369999224,2,08:45,54,82650470,-25.3694403145923,-49.2428589272921,NÃO,08:45
82650470,-25.3694403145923,-49.2428589272921,2,08:46,54,82650060,-25.3808622827653,-49.242762203191,NÃO,08:53
82650060,-25.3808622827653,-49.242762203191,2,08:54,54,80210200,-25.4425802500035,-49.2447534999719,NÃO,08:53
80210200,-25.4425802500035,-49.2447534999719,2,08:54,54,80210200,-25.4425802500035,-49.2447534999719,SIM,09:08
80210200,-25.4425802500035,-49.2447534999719,2,09:09,54,81460140,-25.5504730020315,-49.3064697407443,NÃO,09:17
81460140,-25.5504730020315,-49.3064697407443,2,09:18,54,81450350,-25.4902280000456,-49.348047000162,NÃO,09:19
81450350,-25.4902280000456,-49.348047000162,2,09:20,54,81452334,-25.5061884000766,-49.3539056000423,NÃO,09:19
81452334,-25.5061884000766,-49.3539056000423,2,09:20,54,81452334,-25.5061884000766,-49.3539056000423,SIM,09:30
81452334,-25.5061884000766,-49.3539056000423,2,09:31,54,81670110,-25.4977016024349,-49.2505578410785,NÃO,09:38
81670110,-25.4977016024349,-49.2505578410785,2,09:39,54,81050637,-25.4835295000015,-49.3145007999984,NÃO,09:44
81050637,-25.4835295000015,-49.3145007999984,2,09:45,54,81710380,-25.4967925893433,-49.2594143510465,NÃO,09:44
81710380,-25.4967925893433,-49.2594143510465,2,09:45,54,81710380,-25.4967925893433,-49.2594143510465,SIM,09:50
81710380,-25.4967925893433,-49.2594143510465,2,09:51,54,80215542,-25.4467561755521,-49.2503976846901,NÃO,10:01
80215542,-25.4467561755521,-49.2503976846901,2,10:02,54,81920747,-25.5329949004335,-49.2526856997565,NÃO,10:01
81920747,-25.5329949004335,-49.2526856997565,2,10:02,54,81920747,-25.5329949004335,-49.2526856997565,SIM,10:13
81920747,-25.5329949004335,-49.2526856997565,2,10:14,54,80440020,-25.4428337956861,-49.300747838027,NÃO,10:20
80440020,-25.4428337956861,-49.300747838027,2,10:21,54,81330620,-25.4883481133979,-49.3345923101625,NÃO,10:23
81330620,-25.4883481133979,-49.3345923101625,2,10:24,54,81452040,-25.4998370213564,-49.3545044201704,NÃO,10:23
81452040,-25.4998370213564,-49.3545044201704,2,10:24,54,81452040,-25.4998370213564,-49.3545044201704,SIM,10:43
81452040,-25.4998370213564,-49.3545044201704,2,10:44,54,82220470,-25.3569461500704,-49.2736981005731,NÃO,10:50
82220470,-25.3569461500704,-49.2736981005731,2,10:51,54,80810070,-25.4171734750828,-49.2912702953003,NÃO,10:50
80810070,-25.4171734750828,-49.2912702953003,2,10:51,54,80810070,-25.4171734750828,-49.2912702953003,SIM,10:55
80810070,-25.4171734750828,-49.2912702953003,2,10:56,54,80010160,-25.3975876007521,-49.2498549128683,NÃO,11:06
80010160,-25.3975876007521,-49.2498549128683,2,11:07,54,81650080,-25.4844139677447,-49.2377486322425,NÃO,11:07
81650080,-25.4844139677447,-49.2377486322425,2,11:08,54,81650050,-25.4935107881037,-49.2359919665457,NÃO,11:13
81650050,-25.4935107881037,-49.2359919665457,2,11:14,54,80215650,-25.4484380190541,-49.2490664368478,NÃO,11:13
80215650,-25.4484380190541,-49.2490664368478,2,11:14,54,80215650,-25.4484380190541,-49.2490664368478,SIM,11:19
80215650,-25.4484380190541,-49.2490664368478,2,11:20,54,82960518,-25.4654572500437,-49.1984884999811,NÃO,11:33
82960518,-25.4654572500437,-49.1984884999811,2,11:34,54,81320083,-25.4770955000105,-49.3183277499707,NÃO,11:39
81320083,-25.4770955000105,-49.3183277499707,2,11:40,54,81030180,-25.4763519008138,-49.2647633349843,NÃO,11:40
81030180,-25.4763519008138,-49.2647633349843,2,11:41,54,81010170,-25.4783570614136,-49.2757205974116,NÃO,11:40
81010170,-25.4783570614136,-49.2757205974116,2,11:41,54,81010170,-25.4783570614136,-49.2757205974116,SIM,11:45
81010170,-25.4783570614136,-49.2757205974116,2,11:46,54,81830300,-25.5229877082695,-49.2642839884632,NÃO,11:53
81830300,-25.5229877082695,-49.2642839884632,2,11:54,54,81480170,-25.5633003333374,-49.3185828888561,NÃO,11:53
81480170,-25.5633003333374,-49.3185828888561,2,11:54,54,81480170,-25.5633003333374,-49.3185828888561,SIM,12:18
81480170,-25.5633003333374,-49.3185828888561,2,12:19,54,82700410,-25.3740192069561,-49.2513782763024,NÃO,12:18
82700410,-25.3740192069561,-49.2513782763024,2,12:19,54,82700410,-25.3740192069561,-49.2513782763024,SIM,12:30
82700410,-25.3740192069561,-49.2513782763024,2,12:31,54,82960488,-25.4654066369594,-49.210649939143,NÃO,12:32
82960488,-25.4654066369594,-49.210649939143,2,12:33,54,81550240,-25.4774264375435,-49.2110857497498,NÃO,12:40
81550240,-25.4774264375435,-49.2110857497498,2,12:41,54,80010010,-25.4267759520353,-49.2679877486134,NÃO,12:42
80010010,-25.4267759520353,-49.2679877486134,2,12:43,54,80510090,-25.4219078028813,-49.2805581841836,NÃO,12:42
80510090,-25.4219078028813,-49.2805581841836,2,12:43,54,80510090,-25.4219078028813,-49.2805581841836,SIM,12:47
