CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
80710600,-25.4224698510365,-49.3006978054742,1,15:35:21,30,81030370,-25.4881800174281,-49.2756635796428,SIM,15:50:49
81030370,-25.4881800174281,-49.2756635796428,1,15:51:49,30,81260412,-25.4811505865638,-49.3545312407406,SIM,16:07:44
81260412,-25.4811505865638,-49.3545312407406,1,16:08:44,30,82530380,-25.4300625729625,-49.2336060009616,SIM,16:35:33
82530380,-25.4300625729625,-49.2336060009616,1,16:36:33,30,82820300,-25.4107437445588,-49.2017098689937,SIM,16:44:16
82820300,-25.4107437445588,-49.2017098689937,1,16:44:16,30,80810070,-25.4171734750828,-49.2912702953003,NÃO,17:02:19
80810070,-25.4171734750828,-49.2912702953003,1,17:03:19,30,80010160,-25.3975876007521,-49.2498549128683,SIM,17:12:43
80010160,-25.3975876007521,-49.2498549128683,1,17:13:43,30,81350607,-25.5098119631631,-49.3366327775834,SIM,17:44:10
81350607,-25.5098119631631,-49.3366327775834,1,17:45:10,30,82020560,-25.401157660715,-49.3241349981993,SIM,18:09:28
82020560,-25.401157660715,-49.3241349981993,1,18:10:28,30,82810220,-25.4362783812433,-49.2176039050576,SIM,18:33:15
82810220,-25.4362783812433,-49.2176039050576,1,18:34:15,30,82960200,-25.468586333766,-49.2107938551622,SIM,18:41:34
82960200,-25.468586333766,-49.2107938551622,1,18:41:34,30,82520040,-25.413549500017,-49.2301156541579,NÃO,18:54:25
82520040,-25.413549500017,-49.2301156541579,1,18:55:25,30,82990198,-25.4560595000466,-49.1987434093442,SIM,19:06:47
82990198,-25.4560595000466,-49.1987434093442,1,19:07:47,30,82130162,-25.3808898753791,-49.2691345002354,SIM,19:29:41
82130162,-25.3808898753791,-49.2691345002354,1,19:30:41,30,80510360,-25.4193944591681,-49.2858097118247,SIM,19:39:53
80510360,-25.4193944591681,-49.2858097118247,1,19:39:53,30,81050637,-25.4835295000015,-49.3145007999984,NÃO,19:55:16
81050637,-25.4835295000015,-49.3145007999984,1,19:56:16,30,80030200,-25.4196624320568,-49.2602838398977,SIM,20:14:10
80030200,-25.4196624320568,-49.2602838398977,1,20:14:10,30,82940170,-25.454631812,-49.2228321157173,NÃO,20:25:00
82940170,-25.454631812,-49.2228321157173,1,20:26:00,30,82030020,-25.3946174297227,-49.3162606368294,SIM,20:49:02
82030020,-25.3946174297227,-49.3162606368294,1,20:50:02,30,82600750,-25.3958555000045,-49.2162615000035,SIM,21:10:08
82600750,-25.3958555000045,-49.2162615000035,1,21:11:08,30,81110240,-25.5012202607084,-49.2880626203316,SIM,21:38:39
81110240,-25.5012202607084,-49.2880626203316,1,21:39:39,30,81830300,-25.5229877082695,-49.2642839884632,SIM,21:46:27
81830300,-25.5229877082695,-49.2642839884632,1,21:46:27,30,82810080,-25.4396831550178,-49.213992719196,NÃO,22:07:33
82810080,-25.4396831550178,-49.213992719196,1,22:08:33,30,81610020,-25.4773976954983,-49.2479963707565,SIM,22:19:22
81610020,-25.4773976954983,-49.2479963707565,1,22:20:22,30,81940200,-25.5579957528383,-49.3005594977692,SIM,22:41:10
81940200,-25.5579957528383,-49.3005594977692,1,22:42:10,30,81250720,-25.4815524899573,-49.3385838295334,SIM,23:00:49
81250720,-25.4815524899573,-49.3385838295334,1,23:01:49,30,80820310,-25.4086845373433,-49.2906611455039,SIM,23:20:40
80820310,-25.4086845373433,-49.2906611455039,1,23:21:40,30,82960472,-25.4657194667099,-49.212058299976,SIM,23:41:56
82960472,-25.4657194667099,-49.212058299976,1,23:41:56,30,81560570,-25.4943561601417,-49.2107486004445,NÃO,23:48:19
81560570,-25.4943561601417,-49.2107486004445,1,23:49:19,30,82220133,-25.3760098333463,-49.2639595000711,SIM,00:17:44
82220133,-25.3760098333463,-49.2639595000711,1,00:18:44,30,81590577,-25.4923383333506,-49.2002912221858,SIM,00:47:36
81590577,-25.4923383333506,-49.2002912221858,1,00:48:36,30,81470346,-25.5796239000291,-49.33524810001,SIM,01:21:56
81470346,-25.5796239000291,-49.33524810001,1,01:22:56,30,81200400,-25.4338997893551,-49.3437087449233,SIM,01:55:24
81200400,-25.4338997893551,-49.3437087449233,1,01:56:24,30,80540140,-25.4021061827475,-49.2605236422368,SIM,02:14:33
80540140,-25.4021061827475,-49.2605236422368,1,02:15:33,30,81520300,-25.4623570695212,-49.2422078636873,SIM,02:29:27
81520300,-25.4623570695212,-49.2422078636873,1,02:29:27,30,80530040,-25.4219925091123,-49.2723748799989,NÃO,02:40:17
80530040,-25.4219925091123,-49.2723748799989,1,02:41:17,30,81200160,-25.4320014000022,-49.3213627999599,SIM,02:51:23
81200160,-25.4320014000022,-49.3213627999599,1,02:51:23,30,80045340,-25.4273942123959,-49.2452352041218,NÃO,03:06:43
80045340,-25.4273942123959,-49.2452352041218,1,03:06:43,30,80045265,-25.430376,-49.248243,NÃO,03:07:37
80045265,-25.430376,-49.248243,1,03:08:37,30,81280048,-25.4357441112655,-49.361230111158,SIM,03:31:21
81280048,-25.4357441112655,-49.361230111158,1,03:32:21,30,81560250,-25.4891353622078,-49.2181798796427,SIM,04:03:26
81560250,-25.4891353622078,-49.2181798796427,1,04:04:26,30,81810492,-25.5044000000137,-49.2718504999625,SIM,04:15:44
81810492,-25.5044000000137,-49.2718504999625,1,04:16:44,30,81490562,-25.6007006282316,-49.3302336035246,SIM,04:41:09
81490562,-25.6007006282316,-49.3302336035246,1,04:42:09,30,82015720,-25.4187128462549,-49.3341400767781,SIM,05:22:38
82015720,-25.4187128462549,-49.3341400767781,1,05:23:38,30,81050411,-25.482982,-49.305864,SIM,05:39:01
81050411,-25.482982,-49.305864,1,05:39:01,30,80620340,-25.4540745011999,-49.2732563508827,NÃO,05:48:12
80620340,-25.4540745011999,-49.2732563508827,1,05:49:12,30,80045270,-25.4269458358083,-49.2498379452408,SIM,05:56:51
80045270,-25.4269458358083,-49.2498379452408,1,05:57:51,30,81920747,-25.5329949004335,-49.2526856997565,SIM,06:21:27
81920747,-25.5329949004335,-49.2526856997565,1,06:22:27,30,81480170,-25.5633003333374,-49.3185828888561,SIM,06:37:18
81480170,-25.5633003333374,-49.3185828888561,1,06:38:18,30,80520550,-25.403621771614,-49.2770964271839,SIM,07:14:47
80520550,-25.403621771614,-49.2770964271839,1,07:15:47,30,82520095,-25.4146626252933,-49.2400308757049,SIM,07:23:38
82520095,-25.4146626252933,-49.2400308757049,1,07:24:38,30,81170065,-25.5110533750523,-49.3200841245732,SIM,07:51:26
81170065,-25.5110533750523,-49.3200841245732,1,07:52:26,30,82025101,-25.4089804447922,-49.3131316666906,SIM,08:15:11
82025101,-25.4089804447922,-49.3131316666906,1,08:16:11,30,82800310,-25.4363060856137,-49.2266446131255,SIM,08:34:36
